pos	3pG>A
1	0.213371879798727
2	0.106907453688864
3	0.0640624457255209
4	0.0519435660584288
5	0.0416237536619902
6	0.0344483251680737
7	0.0289977540763885
8	0.0247347129000525
9	0.0220856253575989
10	0.0203376190795089
11	0.0183336177057993
12	0.0176713590633178
13	0.0174143479925034
14	0.0173496303750838
15	0.0174231547229462
16	0.017959033641971
17	0.0184130905037611
18	0.0183800820540099
19	0.0176848195156151
20	0.0165341941610514
21	0.0151583598957111
22	0.013872741305857
23	0.0126233002050738
24	0.0115734328757458
25	0.010572939134332
