pos	5pC>T
1	0.220966618582356
2	0.11098155129949
3	0.0667290198406369
4	0.0539836474201274
5	0.0426117364059497
6	0.0352826365907528
7	0.0296044195437675
8	0.0251341802842169
9	0.0225980335988655
10	0.020589191274294
11	0.018516497895623
12	0.0178595819376171
13	0.0175870917743483
14	0.0174706850316878
15	0.017610106576883
16	0.0185252791616755
17	0.0186808870419554
18	0.0185609625847832
19	0.0180717238295402
20	0.01682611995218
21	0.0154788609852156
22	0.0141773148390807
23	0.0128321674514636
24	0.0117813835197963
25	0.0107468654196539
