"","Position","C.T","G.A"
"1",1,0.99611190721586,0.57203908265528
"2",2,0.99328492287146,0.580236849107692
"3",3,0.989086649921864,0.555558767946696
"4",4,0.983680294736726,0.533188328945883
"5",5,0.977834198718368,0.533058925247009
"6",6,0.97253590450691,0.559591178927324
"7",7,0.968395888497631,0.598601659334653
"8",8,0.965496951563342,0.634544276989658
"9",9,0.963605180261555,0.662428090020253
"10",10,0.96240234258943,0.683742854495809
"11",11,0.961603846115094,0.701904222912901
"12",12,0.961019729803182,0.718594827616479
"13",-12,0.719182321576655,0.960989401988069
"14",-11,0.706457503149151,0.961507996545918
"15",-10,0.691181146025513,0.962275560462386
"16",-9,0.671741728104868,0.963475062713834
"17",-8,0.645900064171199,0.965374419823264
"18",-7,0.612493216320133,0.968289894808161
"19",-6,0.577269808666965,0.972449468503858
"20",-5,0.554087751108626,0.977772478790437
"21",-4,0.554388601396735,0.98364416906733
"22",-3,0.572673251362112,0.989069869923788
"23",-2,0.588857856880446,0.993278924864841
"24",-1,0.55729639514107,0.996110901085575
