"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00394678886225662,0.0217856913575435,0.723212981833575,0.469468668917953,0.340540064191947,-807755.077526967
"Std.",2.34047789852499e-06,7.93329956125786e-06,0.000262943007881604,0.000119470452676277,0.000283329029440677,1.59028562961445
"Acceptance ratio",0.10756,0.11518,0.13908,0.11984,0.2442,0.54818
"0%",0.00393863361992518,0.0217542335747889,0.722317314675163,0.469043129668809,0.339363442060124,-807766.015565539
"2.5%",0.00394214686857223,0.0217699705656607,0.722692498926169,0.469229890207278,0.339991620926389,-807759.04568039
"5%",0.00394288601971428,0.0217725333454546,0.722784917136427,0.469272974384438,0.340072963015037,-807758.145986356
"7.5%",0.00394338096899365,0.0217743378411889,0.722838915947955,0.46930039093701,0.340132088360241,-807757.634565522
"10%",0.00394375259269292,0.0217754551308401,0.722881793613615,0.469317353167643,0.340178235710614,-807757.207350734
"12.5%",0.00394413601737708,0.0217766487570728,0.722914611260597,0.469332437835289,0.340214541787103,-807756.906571896
"15%",0.00394443732058135,0.0217775120967068,0.722941690196348,0.46934564839321,0.340247088658204,-807756.655909204
"17.5%",0.00394461550988566,0.0217782760721622,0.722968612333223,0.469357373056982,0.340278400138813,-807756.432979753
"20%",0.00394482514806544,0.0217791048978787,0.722991176941673,0.469368789609856,0.340303411656858,-807756.23820373
"22.5%",0.00394504008628842,0.021779785313005,0.723009735829968,0.469378212784851,0.340330954733278,-807756.05921253
"25%",0.0039452010395845,0.0217802924908769,0.723033626170265,0.469388511755865,0.34035522993459,-807755.891095467
"27.5%",0.00394536018223995,0.0217810176022595,0.723052461912124,0.469398123663443,0.340375115891935,-807755.726002506
"30%",0.00394554305141141,0.0217816077449197,0.7230715723621,0.469405666094962,0.340393237949381,-807755.57999445
"32.5%",0.00394573337638023,0.0217820918185605,0.723091345430799,0.469414170121488,0.340411860681087,-807755.467170306
"35%",0.00394590110200784,0.0217826288844682,0.723110182360046,0.469422112224152,0.340432804741202,-807755.35285792
"37.5%",0.00394605844110899,0.0217831521893971,0.723127283393389,0.469430222183196,0.340452481749691,-807755.239779948
"40%",0.00394619239588259,0.0217837261475913,0.723146012100687,0.46943783270762,0.340468024448134,-807755.129126513
"42.5%",0.00394636767464036,0.0217842881825967,0.723160763155215,0.469445244557927,0.340485948398645,-807755.019451899
"45%",0.00394653669536683,0.021784780065087,0.723178569162174,0.46945248416948,0.340502972103895,-807754.923589139
"47.5%",0.0039466569568491,0.021785221531493,0.723194717740489,0.469459293687617,0.34052086969378,-807754.829700967
"50%",0.00394678235508034,0.0217857414124137,0.723214942510721,0.469466586745134,0.340538271005459,-807754.740662456
"52.5%",0.00394692155629846,0.0217862110330136,0.723233274789918,0.469473452688432,0.340553821638085,-807754.65331013
"55%",0.00394708460188491,0.0217866743101264,0.723246760528778,0.469480920102959,0.340571908593629,-807754.567684019
"57.5%",0.0039472240730886,0.0217871676217331,0.723263607270866,0.469489320243657,0.340590917966468,-807754.482410168
"60%",0.00394735312889079,0.021787709231631,0.723282143518587,0.469496649893446,0.340608225375652,-807754.400768213
"62.5%",0.0039475079562045,0.021788240468716,0.723300609610533,0.469504982873645,0.340627536576367,-807754.312816843
"65%",0.00394768046521544,0.0217886685074416,0.723317258333245,0.469513972837121,0.340644811311318,-807754.22717752
"67.5%",0.00394785157910723,0.0217893266748514,0.723337312635337,0.469524758851729,0.340664917482789,-807754.149647467
"70%",0.00394801049348537,0.0217899485309976,0.72335564445086,0.469535379608087,0.340687550436734,-807754.069470462
"72.5%",0.00394821018594168,0.0217905623071927,0.723374538075369,0.469543500338139,0.340706736129618,-807754.000015678
"75%",0.00394838196410084,0.0217911355828225,0.723396236334575,0.469552446308565,0.340727584959453,-807753.917645488
"77.5%",0.00394854971673471,0.0217917351305793,0.723417168409869,0.469563221594675,0.340749963180149,-807753.836946595
"80%",0.00394871647433365,0.0217923626647108,0.723441219981392,0.469572041103911,0.340773947521805,-807753.747536859
"82.5%",0.00394891028156743,0.021793150044943,0.723465734080566,0.469583956705855,0.340802370192072,-807753.653755765
"85%",0.00394913928699716,0.0217939550349149,0.723488439384804,0.469596496861889,0.340830484566019,-807753.557049752
"87.5%",0.00394944154904199,0.0217947202807199,0.723515534611476,0.469608723444614,0.340864488323362,-807753.468830158
"90%",0.00394981562180729,0.021795772981017,0.723549853350865,0.469626403824515,0.340899819708657,-807753.375319816
"92.5%",0.00395018286994965,0.0217969307161947,0.723587990546235,0.469642254031562,0.34094791138769,-807753.274769898
"95%",0.00395059704762668,0.021798390111887,0.723635291108145,0.469666186371038,0.341010173267306,-807753.167174546
"97.5%",0.00395138803984561,0.0218009193319466,0.7237234492939,0.469698974633695,0.341109997967988,-807753.003807524
"100%",0.00395605922823423,0.0218199673572901,0.724125142572283,0.469860782269772,0.341638646576566,-807752.616485802
