# table produced by mapDamage version 2.2.1
# using mapped file nochr-Chan_hg19_merged_duprem30_realigned.bam and CRS-hg19.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	91	1146817
+	90	1190768
+	113	506230
+	96	970327
+	100	1111746
+	84	1373342
+	123	341597
+	115	463785
+	80	1560626
+	97	943139
+	92	1102061
+	74	1633395
+	108	616867
+	64	1502845
+	93	1077426
+	72	1671740
+	81	1508523
+	70	1712744
+	67	1620388
+	62	1391360
+	132	239477
+	151	110863
+	99	903235
+	134	219123
+	76	1612046
+	89	1222098
+	71	1685642
+	66	1577349
+	106	661206
+	63	1430467
+	109	594508
+	87	1269149
+	68	1666669
+	77	1598483
+	88	1267293
+	58	1177478
+	57	1093055
+	59	1251208
+	54	833106
+	44	211280
+	127	290651
+	162	71930
+	86	1314350
+	117	428944
+	79	1582493
+	48	443687
+	38	58132
+	56	1002044
+	112	531533
+	107	637987
+	126	302974
+	135	210738
+	98	919237
+	82	1455044
+	163	69581
+	94	1037527
+	125	314792
+	176	43411
+	161	74566
+	104	719739
+	120	386476
+	148	124760
+	102	803922
+	116	446399
+	169	56188
+	41	113232
+	179	38978
+	164	66711
+	65	1536656
+	128	279190
+	143	153059
+	83	1410224
+	69	1706443
+	45	257810
+	160	78199
+	105	687210
+	60	1308273
+	78	1593180
+	85	1335544
+	114	484348
+	137	194252
+	95	1001989
+	103	755980
+	121	371879
+	133	229935
+	138	186873
+	156	90926
+	118	415049
+	167	59671
+	110	574626
+	144	147814
+	145	141854
+	73	1651689
+	140	173086
+	50	578326
+	124	329350
+	131	249119
+	75	1621687
+	142	159539
+	61	1347055
+	130	258397
+	49	514574
+	111	553762
+	166	62280
+	150	115941
+	174	46834
+	146	135657
+	165	64370
+	136	202399
+	52	696529
+	184	31225
+	122	357162
+	159	80988
+	141	166451
+	119	401062
+	181	36289
+	129	267918
+	154	98635
+	149	121012
+	153	102729
+	55	911965
+	158	83466
+	101	877722
+	155	94874
+	172	50540
+	157	87007
+	47	373846
+	168	58026
+	152	106653
+	175	45148
+	170	54139
+	182	34610
+	171	52025
+	178	40635
+	51	638034
+	183	32940
+	46	312042
+	43	171898
+	53	761174
+	42	139335
+	139	180040
+	185	28983
+	39	73269
+	147	130338
+	36	34962
+	40	91439
+	33	9580
+	37	43128
+	35	43972
+	31	4792
+	34	13329
+	180	38019
+	177	42122
+	32	6819
+	173	48762
+	30	3264
+	188	19
+	187	49
+	186	337
+	28	2
+	29	13
+	189	5
-	104	720364
-	98	919301
-	90	1191134
-	88	1266872
-	96	969315
-	89	1218797
-	87	1267184
-	84	1373168
-	85	1337142
-	82	1453797
-	68	1667937
-	95	1001600
-	79	1583795
-	78	1596391
-	70	1711008
-	73	1655214
-	157	87262
-	74	1633198
-	136	202318
-	62	1389728
-	57	1094475
-	125	315461
-	75	1623073
-	92	1103233
-	114	483883
-	111	553089
-	108	616452
-	107	638801
-	45	258405
-	72	1672737
-	53	760885
-	66	1576050
-	58	1178568
-	166	61973
-	64	1502190
-	67	1620748
-	71	1686114
-	69	1709360
-	155	94957
-	110	575452
-	103	755600
-	106	663042
-	94	1040492
-	144	148175
-	99	904212
-	123	342708
-	182	34618
-	117	429629
-	93	1078892
-	177	41997
-	149	120750
-	118	415122
-	124	328875
-	83	1412069
-	185	29027
-	160	77855
-	130	258821
-	60	1306737
-	49	513084
-	63	1429862
-	97	942348
-	134	220357
-	128	278620
-	132	240119
-	105	688646
-	50	578030
-	102	803691
-	122	357549
-	52	697570
-	135	210849
-	59	1250472
-	61	1346115
-	77	1597138
-	76	1610761
-	80	1559215
-	121	372593
-	165	64687
-	116	446274
-	120	387406
-	167	59837
-	139	180151
-	145	140549
-	47	373347
-	81	1509527
-	129	268743
-	137	193896
-	100	1111251
-	140	172206
-	86	1312660
-	101	876664
-	133	229037
-	91	1148078
-	127	291230
-	54	833448
-	153	102639
-	172	50308
-	109	594606
-	113	507912
-	115	464196
-	147	130619
-	112	530354
-	119	400848
-	65	1536466
-	51	638083
-	126	302665
-	44	211662
-	168	57705
-	156	91057
-	55	912682
-	143	153047
-	179	39123
-	162	72113
-	181	36184
-	178	40698
-	131	249786
-	150	116587
-	163	69747
-	46	311972
-	173	48535
-	152	107411
-	40	91555
-	48	444622
-	142	159619
-	151	111493
-	169	55583
-	138	186131
-	158	83808
-	56	1003268
-	148	125185
-	164	67077
-	154	98669
-	174	46785
-	161	74687
-	175	44965
-	184	31370
-	141	166354
-	42	139854
-	43	171208
-	41	113080
-	39	73388
-	170	54021
-	38	58184
-	171	52467
-	37	43099
-	176	43520
-	146	135365
-	36	35134
-	35	44584
-	180	37670
-	183	32736
-	32	6554
-	31	4742
-	159	81302
-	33	9431
-	34	13587
-	30	3352
-	186	311
-	187	55
-	189	11
-	29	12
-	188	15
